status	family	pval	qval	gene_short_name	num_cells_expressed	use_for_ordering
4931406P16Rik	OK	negbinomial.size	0.471450389133543	0.94995267923728	4931406P16Rik	22	FALSE
4931422A03Rik	OK	negbinomial.size	0.968025071334305	0.999999999737279	4931422A03Rik	8	FALSE
4931428F04Rik	OK	negbinomial.size	0.995528895357902	0.999999999737279	4931428F04Rik	21	FALSE
4931428L18Rik	OK	negbinomial.size	0.0187510809416672	0.245444573646823	4931428L18Rik	25	FALSE
4931440P22Rik	OK	negbinomial.size	0.696303349066177	0.999999999737279	4931440P22Rik	26	FALSE
4932411N23Rik	OK	negbinomial.size	0.630837726440786	0.988216622260776	4932411N23Rik	18	FALSE
4932414N04Rik	OK	negbinomial.size	0.145478456451496	0.69340899459447	4932414N04Rik	38	FALSE
4932438A13Rik	OK	negbinomial.size	0.738555755495586	0.999999999737279	4932438A13Rik	39	FALSE
4933412A08Rik	OK	negbinomial.size	0.949350194890376	0.999999999737279	4933412A08Rik	16	FALSE
4933427D14Rik	OK	negbinomial.size	0.671575869432272	0.996172582804631	4933427D14Rik	19	FALSE
4933427I04Rik	OK	negbinomial.size	0.172969394814114	0.744170652107236	4933427I04Rik	32	FALSE
5031439G07Rik	OK	negbinomial.size	0.897924815145305	0.999999999737279	5031439G07Rik	36	FALSE
5330417C22Rik	OK	negbinomial.size	0.172183972601215	0.74261357695913	5330417C22Rik	26	FALSE
5430403G16Rik	OK	negbinomial.size	0.63191008889604	0.988216622260776	5430403G16Rik	30	FALSE
5430427O19Rik	OK	negbinomial.size	0.184498991754469	0.760088799683647	5430427O19Rik	14	FALSE
5430437J10Rik	OK	negbinomial.size	0.330169201240218	0.887127527669964	5430437J10Rik	12	FALSE
5530401A14Rik	OK	negbinomial.size	0.229870293326045	0.804621800818677	5530401A14Rik	16	FALSE
5730409E04Rik	OK	negbinomial.size	0.201866574653032	0.779256660803466	5730409E04Rik	33	FALSE
5730480H06Rik	OK	negbinomial.size	0.345700322671219	0.895889424180643	5730480H06Rik	28	FALSE
5730507C01Rik	OK	negbinomial.size	0.32150636619987	0.881251712664919	5730507C01Rik	23	FALSE
5830417I10Rik	OK	negbinomial.size	0.431338398318667	0.932595601573933	5830417I10Rik	26	FALSE
6030408B16Rik	OK	negbinomial.size	0.30911192559254	0.870671532195796	6030408B16Rik	21	FALSE
6030445D17Rik	OK	negbinomial.size	0.216331561133789	0.793543765735553	6030445D17Rik	7	FALSE
6030458C11Rik	OK	negbinomial.size	0.258873087346286	0.826504369592258	6030458C11Rik	31	FALSE
6330409D20Rik	OK	negbinomial.size	0.285388973563384	0.851288124338824	6330409D20Rik	13	FALSE
6330549D23Rik	OK	negbinomial.size	0.273459399279806	0.840744147894544	6330549D23Rik	9	FALSE
6430531B16Rik	OK	negbinomial.size	0.00182594096780482	0.0470909496808399	6430531B16Rik	6	FALSE
6430548M08Rik	OK	negbinomial.size	0.991511467839315	0.999999999737279	6430548M08Rik	36	FALSE
6430550D23Rik	OK	negbinomial.size	8.76852038564898e-05	0.00478989056499526	6430550D23Rik	12	FALSE
6430571L13Rik	OK	negbinomial.size	0.238890912998459	0.810220341689958	6430571L13Rik	14	FALSE
6720489N17Rik	OK	negbinomial.size	0.85314421114424	0.999999999737279	6720489N17Rik	9	FALSE
6820408C15Rik	OK	negbinomial.size	0.000140660844108332	0.00697024718572537	6820408C15Rik	7	TRUE
6820431F20Rik	OK	negbinomial.size	0.838450723780281	0.999999999737279	6820431F20Rik	37	FALSE
7530416G11Rik	OK	negbinomial.size	0.570982878210627	0.974312352470049	7530416G11Rik	9	FALSE
