Cell	CellType	Age
GSM2657129	Pvalb.Tac1.Syt2	27
GSM2657130	Unknown	27
GSM2657131	Unknown	27
GSM2657132	Calb2.Vip.Igfbp4	27
GSM2657133	Unknown	27
GSM2657134	Sst.Npy.Serpine2	27
GSM2657135	Unknown	27
GSM2657136	Unknown	27
GSM2657137	Cck.Lmo1.Npy	27
GSM2657138	Unknown	27
GSM2657139	Unknown	27
GSM2657140	Unknown	27
GSM2657141	Unknown	27
GSM2657142	Unknown	27
GSM2657143	Unknown	27
GSM2657144	Cacna2d1.Ndnf.Npy	27
GSM2657145	Unknown	27
GSM2657146	Unknown	27
GSM2657147	Unknown	27
GSM2657148	Unknown	27
GSM2657149	Unknown	27
GSM2657150	Unknown	27
GSM2657151	Unknown	27
GSM2657152	Unknown	27
GSM2657153	Sst.Erbb4.Th	27
GSM2657154	Unknown	27
GSM2657155	Unknown	27
GSM2657156	Unknown	27
GSM2657157	Unknown	27
GSM2657158	Sst.Erbb4.Crh	27
GSM2657159	Unknown	27
GSM2657160	Unknown	27
GSM2657161	Cacna2d1.Lhx6.Reln	27
GSM2657162	Unknown	27
GSM2657163	Unknown	27
GSM2657164	Unknown	27
GSM2657165	Unknown	27
GSM2657166	Unknown	27
GSM2657167	Cacna2d1.Ndnf.Rgs10	27
GSM2657168	Unknown	27
GSM2657169	Unknown	27
GSM2657170	Unknown	27
GSM2657171	Unknown	27
GSM2657172	Unknown	27
GSM2657173	Sst.Npy.Serpine2	27
GSM2657174	Unknown	27
GSM2657175	Unknown	27
GSM2657176	Calb2.Vip.Igfbp4	27
GSM2657177	Unknown	27
GSM2657178	Unknown	27
GSM2657179	Unknown	27
GSM2657180	Unknown	27
GSM2657181	Unknown	27
GSM2657182	Pvalb.Tac1.Sst	27
GSM2657183	Unknown	27
GSM2657184	Unknown	27
GSM2657185	Pvalb.Tac1.Syt2	27
GSM2657186	Unknown	27
GSM2657187	Unknown	27
GSM2657188	Unknown	27
GSM2657189	Unknown	27
GSM2657190	Unknown	27
GSM2657191	Pvalb.Tac1.Akr1c18	27
GSM2657192	Unknown	27
GSM2657193	Unknown	27
GSM2657194	Unknown	27
GSM2657195	Unknown	27
GSM2657196	Cacna2d1.Lhx6.Reln	27
GSM2657197	Cacna2d1.Lhx6.Reln	27
GSM2657198	Pvalb.C1ql1.Pvalb	27
GSM2657199	Cacna2d1.Lhx6.Vwa5a	27
GSM2657200	Pvalb.Tac1.Sst	27
GSM2657201	Unknown	27
GSM2657202	Unknown	27
GSM2657203	Unknown	27
GSM2657204	Unknown	27
GSM2657205	Unknown	27
GSM2657206	Unknown	27
GSM2657207	Unknown	27
GSM2657208	Unknown	27
GSM2657209	Unknown	27
GSM2657210	Unknown	27
GSM2657211	Unknown	27
GSM2657212	Unknown	27
GSM2657213	Unknown	27
GSM2657214	Cck.Lypd1	27
GSM2657215	Unknown	27
GSM2657216	Unknown	27
GSM2657217	Unknown	27
GSM2657218	Unknown	27
GSM2657219	Unknown	27
GSM2657220	Unknown	27
GSM2657221	Unknown	27
GSM2657222	Unknown	27
GSM2657223	Unknown	27
GSM2657224	Unknown	27
GSM2657225	Unknown	27
GSM2657226	Unknown	27
GSM2657227	Unknown	27
GSM2657228	Unknown	27
GSM2657229	Unknown	27
GSM2657230	Unknown	27
GSM2657231	Unknown	27
GSM2657232	Unknown	27
GSM2657233	Unknown	27
GSM2657234	Unknown	27
GSM2657235	Pvalb.Tac1.Nr4a2	27
GSM2657236	Unknown	27
GSM2657237	Cacna2d1.Lhx6.Vwa5a	27
GSM2657238	Unknown	27
