Cell	CellType
657194483	Lamp5 Lsp1
657366321	Sst Tac2 Tacstd2
657382503	Vip Arhgap36 Hmcn1
657442490	Sst Hpse Sema3c
657454163	Sst Hpse Cbln4
657585527	Lamp5 Ntn1 Npy2r
657660421	Sst Hpse Cbln4
657661669	Sst Crhr2 Efemp1
657661984	Sst Hpse Cbln4
657673212	Sst Calb2 Pdlim5
657675788	Sst Rxfp1 Prdm8
657725630	Vip Ptprt Pkp2
657727121	Vip Rspo4 Rxfp1 Chat
657857340	Sst Calb2 Necab1
657857431	Sst Hpse Cbln4
657858349	Sst Myh8 Etv1 
657858379	Sst Myh8 Etv1 
657859611	Pvalb Gabrg1
657860437	Pvalb Gabrg1
657926526	Pvalb Sema3e Kank4
657926790	Pvalb Sema3e Kank4
657945461	Lamp5 Lsp1
657966095	Pvalb Akr1c18 Ntf3
657984445	Sst Calb2 Necab1
657984709	Pvalb Th Sst
657985196	Sst Rxfp1 Eya1
657986352	Sst Calb2 Pdlim5
657999088	Sst Calb2 Pdlim5
658012080	Sst Crhr2 Efemp1
658061248	Lamp5 Plch2 Dock5
658068133	Lamp5 Ntn1 Npy2r
658075752	Lamp5 Fam19a1 Tmem182
658089840	Lamp5 Ntn1 Npy2r
658097786	Lamp5 Plch2 Dock5
658103346	Lamp5 Lsp1
658124114	Lamp5 Lsp1
658139862	Vip Rspo4 Rxfp1 Chat
658279826	Pvalb Tpbg
658411218	Lamp5 Lsp1
658418858	Pvalb Sema3e Kank4
658424080	Lamp5 Plch2 Dock5
658435131	Lamp5 Lsp1
658441785	Lamp5 Lsp1
658447323	Vip Rspo1 Itga4
658448573	Vip Pygm C1ql1
658448683	Vip Rspo4 Rxfp1 Chat
658470462	Sst Rxfp1 Prdm8
658477694	Lamp5 Lsp1
658604834	Lamp5 Lsp1
658616147	Pvalb Tpbg
659012847	Pvalb Calb1 Sst
659056830	Vip Lect1 Oxtr
659112983	Serpinf1 Aqp5 Vip
659134440	Vip Lmo1 Myl1
659141131	Vip Igfbp4 Mab21l1
659147142	Lamp5 Plch2 Dock5
659280391	Sst Chodl
659405820	Sst Crhr2 Efemp1
659405868	Sst Chodl
659413418	Sst Hpse Cbln4
659430821	Sst Hpse Cbln4
659436153	Vip Ptprt Pkp2
659485385	Sst Chodl
659550641	Sst Esm1
659697295	Lamp5 Lsp1
659700506	Lamp5 Plch2 Dock5
659888858	Sst Hpse Cbln4
659934473	Sst Esm1
659960546	Sst Rxfp1 Prdm8
660050258	Sst Chrna2 Ptgdr
660430219	Vip Ptprt Pkp2
660454584	Vip Ptprt Pkp2
660704050	Sst Hpse Sema3c
660722612	Sst Hpse Cbln4
660722845	Sst Chodl
660840807	Sst Chrna2 Glra3
660898270	Vip Rspo4 Rxfp1 Chat
661151042	Sst Myh8 Etv1 
661189529	Sst Tac2 Tacstd2
661222942	Sst Rxfp1 Eya1
661290272	Vip Crispld2 Kcne4
661293762	Vip Crispld2 Kcne4
661293861	Vip Ptprt Pkp2
661296298	Vip Ptprt Pkp2
661296728	Vip Rspo4 Rxfp1 Chat
