	celltype	cc_directory	cc_ending	vc_directory	vc_ending
O47	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O48	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O49	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O52	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O54	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O55	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O56	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O58	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O59	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O60	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O61	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O62	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O65	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O66	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O68	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O71	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O73	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O76	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O78	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O80	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O87	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O89	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O90	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
