	CellType	Resting membrane potential (mV)	Max. AP frequency (Hz)	Frequency Slope (Hz/pA)	AP firing threshold (pA)	Input resistance (MOhm)	Series Resistance (MOhm)	Capacitance (pF)	AP basewidth (ms)	AP halfwidth (ms)	AP symmetricity	AP peak amplitude (mV)	Sag potential	Attenuation	Latency (ms)	Approx Resistance (MOhm)
O210	vBC	-63.8733	139.5222238467036	0.3066565798684937	299.6320675437843	71.57647911004669	14.097917934891868	59.848707800000014	0.5625018727968998	0.27690534868773314	0.4553927102775305	69.46091326181848	0.7323999999999984	1.385011766664704	233.2800000000001	0.03646204168230471
O216	vBC	-51.9714	234.31033351524363	0.3114036276651612	250.0	80.53079457319082	16.213339005840208	46.39444800000001	0.5079848940806246	0.25894610091649317	0.4419336529063622	71.78533095869876	0.2746999999999957	1.3114111372947537	198.12	0.04093630320116136
O222	vBC	-73.3337	220.6044321117046	0.2384546727641203	350.0	60.314758599225904	10.600530662564967	71.09071046799997	0.49221673713812186	0.23574953925323872	0.4347815353152632	82.98401191171288	0.8850000000000051	1.185448849705478	52.80000000000007	0.0322492509474446
O24	hBIC	-69.48545	118.81512012488365	0.45171567208515573	375.0	90.26908310984213	16.528679738648513	41.0481233	0.5160171673121202	0.2634877183908899	0.4315465598399806	81.50599238629017	1.4466000000000037	1.0867029153036618	447.48000000000013	0.05540714532749089
O240	vBC	-70.0989	178.30897102816502	0.2128755845255386	423.5005179495815	60.0454544089876	10.523779004850411	75.5341673216	0.6200686848079601	0.3144940431807748	0.37831311492006187	67.62246134167955	1.7394999999999925	1.7187528945465707	1257.3199999999997	0.031808230591173464
O242	vBC	-68.2068	192.0432344584139	0.22805089659566252	351.6033469068559	85.55161542837833	9.553826737530585	71.11818702800001	0.6353591176647477	0.3369760936867676	0.3691503844292811	67.48003162856635	1.7395000000000067	1.6010451244917185	673.4800000000001	0.03185812923046714
O243	vBC	-70.0989	178.30897102816502	0.2128755845255386	423.5005179495815	74.74808028242816	9.838102222210853	71.10045774	0.6200686848079601	0.3144940431807748	0.37831311492006187	67.62246134167955	1.7394999999999925	1.7187528945465707	1257.3199999999997	0.031808230591173464
O248	hBC	-67.1387	198.95386051182967	0.20012982021734327	577.1580162208395	68.71525155622867	15.649060430411758	56.1357081112	0.629522573673404	0.3324476305111196	0.41763688844678665	63.15000034643765	0.8850000000000051	1.417291498064613	755.2800000000001	0.02636140025243481
O250	vBC	-69.458	92.14391898790817	0.16515983392935588	226.9303393043007	71.07770143242892	15.555360595036095	50.32756980000001	0.782463388828621	0.39762671681187245	0.3517280847767724	63.660615939064385	1.4343000000000075	1.43974188913242	201.76	0.03613634591347868
O251	vBC	-70.8008	266.84590939171636	0.5903596325886497	137.12898953712465	162.3239596657425	15.256295853750709	63.10185253120001	0.4502311128231324	0.2549145281623585	0.4235833294702187	61.777442938262695	6.469700000000003	1.357361984571365	34.72000000000003	0.04235945614513773
