	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
F2S4_170324_017_G01	Oligo Serpinb1a	2.639348	1.835758	69.55346547707994	5.178	7.432
F2S4_170324_016_E01	Oligo Serpinb1a	2.889371	2.186316	75.66754148221187	6.314	10.21
F2S4_170324_016_C01	Oligo Serpinb1a	2.850377	2.109999	74.02526051817006	5.638	8.657
F2S4_170324_016_A01	Oligo Serpinb1a	2.933259	2.231036	76.05997288340374	6.607	10.84
F2S4_170324_013_E01	Oligo Serpinb1a	3.12774	2.284727	73.04721620083511	5.797	8.716
F2S4_170324_011_H01	Oligo Serpinb1a	2.998688	2.3467	78.25755797201975	6.067	9.309
F2S4_170323_060_G01	Oligo Serpinb1a	2.953965	2.26688	76.74024573750874	6.436	10.298
F2S4_170323_060_D01	Oligo Serpinb1a	3.026074	2.374544	78.46946241235344	5.58	8.268
F2S4_170323_060_A01	Oligo Serpinb1a	3.141042	2.223589	70.79144436782443	6.876	10.76
F2S4_170323_059_G01	Oligo Serpinb1a	2.821497	2.028552	71.89630185678028	7.099	11.629
F2S4_170323_059_B01	Oligo Serpinb1a	3.019871	2.036249	67.42834379349317	6.51	9.985
F2S4_170323_052_B01	Oligo Serpinb1a	3.08154	2.292032	74.37943365979348	6.149	9.748
F2S4_170323_051_B01	Oligo Serpinb1a	3.118355	2.577812	82.66576448159367	3.514	4.697
F2S4_170323_050_G01	Oligo Serpinb1a	2.588453	1.877822	72.54611151911973	6.001	9.105
F2S4_170323_050_F01	Oligo Serpinb1a	2.772931	1.965697	70.88878158165494	6.445	9.896
F2S4_170323_050_C01	Oligo Serpinb1a	2.777601	2.189292	78.81952807476668	6.216	9.899
F2S4_170323_049_E01	Oligo Serpinb1a	3.050621	2.298464	75.34413484992072	6.529	10.129
F2S4_170323_048_F01	Oligo Serpinb1a	2.886003	1.963426	68.03270821270802	5.817	8.521
F2S4_170323_048_D01	Oligo Serpinb1a	1.558303	1.116049	71.61951173808944	5.066	7.493
F2S4_170323_048_A01	Oligo Serpinb1a	2.267761	1.593928	70.28641907149827	5.142	7.495
F2S4_170323_041_H01	Oligo Serpinb1a	2.396105	1.828067	76.2932759624474	6.774	11.47
F2S4_170323_041_E01	Oligo Serpinb1a	2.40329	1.898911	79.01297804259994	7.389	12.611
F2S4_170323_041_B01	Oligo Serpinb1a	2.42102	1.734911	71.66033324796986	5.374	8.06
F2S4_170323_040_E01	Oligo Serpinb1a	2.281422	1.627684	71.34515227783373	5.872	9.117
F2S4_170323_040_A01	Oligo Serpinb1a	2.473252	1.946128	78.68700803638286	6.122	9.953
F2S4_170323_039_D01	Oligo Serpinb1a	2.209403	1.654917	74.90335624600853	5.52	8.475
F2S4_170323_039_B01	Oligo Serpinb1a	2.549749	1.851848	72.62863913271464	6.461	10.172
F2S4_170323_038_F01	Oligo Serpinb1a	2.81916	2.126551	75.43207905901048	6.562	10.574
F2S4_170323_038_C01	Oligo Serpinb1a	2.80642	2.163417	77.08814076296491	6.006	9.502
F2S4_170323_037_E01	Oligo Serpinb1a	2.953965	2.37737	80.48064211999804	7.117	11.941
F2S4_170323_037_A01	Oligo Serpinb1a	2.826622	2.197319	77.73657036561661	7.32	12.324
F2S4_170323_036_H01	Oligo Serpinb1a	2.38948	1.775766	74.31600180792474	5.825	9.161
F2S4_170323_036_B01	Oligo Serpinb1a	2.959898	2.269182	76.6641958608033	6.395	10.265
F2S4_170323_035_D01	Oligo Serpinb1a	2.846036	2.28581	80.31556874192738	6.511	10.704
F2S4_170323_035_B01	Oligo Serpinb1a	3.034963	2.475575	81.56853971531119	5.665	8.655
F2S4_170323_028_E01	Oligo Serpinb1a	2.791379	1.951803	69.92253649540244	5.364	7.799
F2S4_170323_028_B01	Oligo Serpinb1a	2.828917	2.055084	72.64560960961384	4.96	7.124
F2S4_170323_027_E01	Oligo Serpinb1a	2.937559	2.202504	74.97735364634379	6.387	10.087
F2S4_170323_027_D01	Oligo Serpinb1a	3.123035	2.256204	72.24395499890332	5.533	8.085
F2S4_170323_026_E01	Oligo Serpinb1a	2.984553	2.289856	76.72358306252227	5.583	8.244
F2S4_170323_026_D01	Oligo Serpinb1a	2.815446	2.212352	78.57909546125197	5.432	8.296
F2S4_170323_025_A01	Oligo Serpinb1a	2.647563	2.062161	77.88902473708842	6.117	10.073
F2S4_170323_014_E01	Oligo Serpinb1a	3.109165	2.442782	78.56713940881232	6.639	10.623
F2S4_170323_010_D01	Oligo Serpinb1a	2.754831	2.156211	78.27017337905666	6.285	10.014
F2S4_170323_003_F01	Oligo Serpinb1a	2.890035	2.21945	76.79664779146273	5.728	9.136
F2S4_170323_002_G01	Oligo Serpinb1a	2.633726	2.072391	78.6866591285502	5.261	8.342
F2S4_161104_001_F01	Oligo Serpinb1a	2.153491	1.628358	75.61480405536871	5.559	8.562
F2S4_160526_001_G01	Oligo Serpinb1a	2.269408	1.906372	84.00305277852198	5.991	10.633
F2S4_160419_006_A01	Oligo Serpinb1a	1.485865	1.248886	84.0511082769969	6.665	11.959
F2S4_160316_004_F01	Oligo Serpinb1a	2.639847	1.716462	65.02126827804793	5.829	9.077
F2S4_160316_004_C01	Oligo Serpinb1a	2.773174	2.118401	76.38904013956571	6.431	10.851
F2S4_160316_003_H01	Oligo Serpinb1a	3.07539	2.129161	69.23222745733061	6.824	10.958
F2S4_160316_001_H01	Oligo Serpinb1a	2.767842	2.016219	72.84443981990302	6.138	10.055
F2S4_160225_011_H01	Oligo Serpinb1a	2.357858	1.422194	60.317203156424185	5.706	8.671
F2S4_160225_011_E01	Oligo Serpinb1a	1.606224	0.969705	60.371716522726594	5.731	8.651
F2S4_160225_010_E01	Oligo Serpinb1a	2.414277	1.552894	64.3212854200243	5.923	9.207
F2S4_160225_009_C01	Oligo Serpinb1a	2.510828	1.930049	76.86902487944215	4.04	6.077
F2S4_160225_007_D01	Oligo Serpinb1a	2.39226	1.608629	67.2430672251344	5.629	8.687
F2S4_160219_003_H01	Oligo Serpinb1a	2.028541	1.104674	54.456577412041455	5.996	9.522
F2S4_160219_003_F01	Oligo Serpinb1a	1.909944	1.089024	57.018635101343285	6.42	10.275
F2S4_151217_012_F01	Oligo Serpinb1a	2.142737	1.402199	65.43962231482445	6.865	11.435
F2S4_171204_004_G01	Oligo Rassf10	0.803523	0.673051	83.76250586479789	7.635	15.172
F2S4_170324_038_B01	Oligo Rassf10	2.664558	1.941616	72.86822054539628	7.503	12.969
F2S4_170209_001_E01	Oligo Rassf10	2.394305	2.083167	87.00508080633001	8.731	16.477
F2S4_170201_014_G01	Oligo Rassf10	2.557841	2.00552	78.40675006773293	6.546	10.748
F2S4_160819_002_A01	Oligo Rassf10	2.541537	2.07933	81.81387876706104	9.307	18.097
F2S4_160613_026_C01	Oligo Rassf10	2.740628	2.318466	84.59615825278001	8.75	16.952
F2S4_160421_007_A01	Oligo Rassf10	4.227292	3.3347	78.88501669626797	8.723	15.564
F2S4_160329_015_G01	Oligo Rassf10	2.319695	1.886441	81.3228032133535	8.397	15.458
F2S4_160225_010_D01	Oligo Rassf10	2.954438	2.026796	68.60174422343607	8.99	15.642
F2S4_160225_005_F01	Oligo Rassf10	2.777924	2.125825	76.5256716886423	9.243	17.699
F2S4_160225_002_E01	Oligo Rassf10	2.957064	2.345109	79.30531770702291	9.248	17.388
F2S4_160219_002_C01	Oligo Rassf10	2.433135	2.081593	85.5518908732972	9.52	19.673
F2S4_151217_010_C01	Oligo Rassf10	1.73876	0.928113	53.37786698566794	7.638	12.557
F2S4_171006_009_E01	OPC Pdgfra Grm5	1.354357	1.074755	79.35536937454451	7.407	12.972
F2S4_170324_042_F01	OPC Pdgfra Grm5	2.731038	1.617444	59.22451463509479	6.789	10.672
F2S4_170324_040_G01	OPC Pdgfra Grm5	3.043733	2.094115	68.80087708087405	7.507	12.141
F2S4_170324_035_C01	OPC Pdgfra Grm5	3.103778	1.946924	62.72755332372354	6.743	9.984
F2S4_170324_028_F01	OPC Pdgfra Grm5	2.885854	2.354556	81.58957452456015	3.815	5.352
F2S4_170324_027_A01	OPC Pdgfra Grm5	2.585653	2.125254	82.19409178261739	7.413	13.202
F2S4_170324_026_B01	OPC Pdgfra Grm5	3.134932	1.65546	52.80688703933609	6.698	10.387
F2S4_170324_017_C01	OPC Pdgfra Grm5	2.69022	1.33039	49.45283285381865	5.797	8.12
F2S4_170324_017_A01	OPC Pdgfra Grm5	3.284849	1.942617	59.13870013507471	6.238	9.146
F2S4_170324_016_G01	OPC Pdgfra Grm5	3.052086	1.89212	61.99432126093433	7.267	11.568
F2S4_170324_015_H01	OPC Pdgfra Grm5	2.864683	1.996352	69.68840880474384	7.614	12.987
F2S4_170324_014_C01	OPC Pdgfra Grm5	3.370963	2.270343	67.34998277940161	7.513	11.944
F2S4_170324_013_H01	OPC Pdgfra Grm5	3.15538	2.19432	69.54217875501524	7.469	12.052
F2S4_170324_004_F01	OPC Pdgfra Grm5	2.828374	1.417146	50.104618413265	6.644	9.943
F2S4_170324_003_F01	OPC Pdgfra Grm5	2.699889	1.705836	63.18170858135278	7.422	11.614
F2S4_170324_001_E01	OPC Pdgfra Grm5	2.702843	1.609326	59.54197117627624	6.962	10.631
F2S4_170323_048_H01	OPC Pdgfra Grm5	3.04216	1.651646	54.29188471349305	6.538	9.667
F2S4_170323_048_B01	OPC Pdgfra Grm5	2.37151	1.394115	58.785963373546814	6.259	9.204
F2S4_170323_041_F01	OPC Pdgfra Grm5	2.193125	1.331695	60.72134511256768	6.819	10.367
F2S4_170323_040_F01	OPC Pdgfra Grm5	2.534905	1.573818	62.08587698552805	6.899	10.64
F2S4_170323_040_C01	OPC Pdgfra Grm5	2.336724	1.495874	64.01586152237064	7.244	11.766
F2S4_170323_039_G01	OPC Pdgfra Grm5	2.544568	1.713567	67.3421578829884	6.43	10.276
F2S4_170323_039_F01	OPC Pdgfra Grm5	2.336421	1.45315	62.19555465389157	6.192	9.488
F2S4_170323_039_C01	OPC Pdgfra Grm5	2.183017	1.385332	63.45951497400157	6.924	10.906
F2S4_170323_037_C01	OPC Pdgfra Grm5	1.367653	0.809365	59.17911926490126	6.173	9.512
F2S4_170323_027_G01	OPC Pdgfra Grm5	3.132056	2.073078	66.18904642828865	6.506	9.882
F2S4_170323_027_F01	OPC Pdgfra Grm5	3.047699	1.52427	50.01379729428661	6.789	10.086
F2S4_170323_017_F01	OPC Pdgfra Grm5	2.17635	1.361042	62.53782709582559	5.753	8.709
F2S4_170323_017_C01	OPC Pdgfra Grm5	3.356393	2.273004	67.72162854588242	6.896	10.974
F2S4_170323_016_D01	OPC Pdgfra Grm5	3.507027	2.116516	60.35071871417015	6.182	9.422
F2S4_170323_014_C01	OPC Pdgfra Grm5	2.603391	1.546811	59.41523958560201	6.311	9.292
F2S4_170323_014_B01	OPC Pdgfra Grm5	3.222767	2.203268	68.36572423634722	7.484	11.884
F2S4_170323_013_B01	OPC Pdgfra Grm5	2.962979	1.677177	56.604417378590945	6.171	8.914
F2S4_170323_012_D01	OPC Pdgfra Grm5	2.797686	1.613298	57.66544208320733	6.792	10.302
F2S4_170323_011_G01	OPC Pdgfra Grm5	3.078429	2.186804	71.03636302802501	7.683	12.499
F2S4_170323_011_A01	OPC Pdgfra Grm5	3.178861	1.885942	59.32760193037695	7.444	11.373
F2S4_170323_010_G01	OPC Pdgfra Grm5	2.988989	1.715416	57.391178087306436	7.044	10.823
F2S4_170323_010_A01	OPC Pdgfra Grm5	2.765087	2.43697	88.13357409730689	6.303	10.791
F2S4_170323_003_E01	OPC Pdgfra Grm5	2.914641	1.722094	59.08425771818896	6.834	10.652
F2S4_170323_003_C01	OPC Pdgfra Grm5	2.797709	1.722182	61.556866707724076	5.954	8.912
F2S4_170323_001_H01	OPC Pdgfra Grm5	2.874049	1.832559	63.76227406004561	7.197	11.297
F2S4_170209_005_E01	OPC Pdgfra Grm5	2.946648	1.995716	67.72834760039204	9.274	15.092
F2S4_170201_019_A01	OPC Pdgfra Grm5	2.507529	1.662824	66.3132510132485	6.487	10.368
F2S4_161104_001_A01	OPC Pdgfra Grm5	2.256339	1.671896	74.09773088175136	7.313	11.847
F2S4_160316_004_H01	OPC Pdgfra Grm5	2.394664	1.215262	50.748748049830795	6.893	10.946
F2S4_160225_009_D01	OPC Pdgfra Grm5	2.772592	1.471669	53.07917645293646	7.687	12.65
F2S4_160225_008_E01	OPC Pdgfra Grm5	2.899057	1.564271	53.957924939040524	7.557	12.189
F2S4_160219_001_F01	OPC Pdgfra Grm5	2.291077	1.198471	52.310376299006975	8.23	14.106
F2S4_170323_050_D01	OPC Pdgfra Ccnb1	2.86797	1.703499	59.39737863366772	8.196	13.989
F2S4_170323_048_G01	OPC Pdgfra Ccnb1	3.115746	2.102573	67.48216959919068	7.936	13.118
F2S4_160517_008_G01	OPC Pdgfra Ccnb1	3.530317	3.100022	87.81143449724203	11.289	24.876
F2S4_160413_015_H01	OPC Pdgfra Ccnb1	2.141029	1.689624	78.91644625084481	9.151	17.502
F2S4_170324_042_G01	Microglia Siglech	2.764452	1.944559	70.34157221756789	5.586	8.471
F2S4_170324_042_A01	Microglia Siglech	2.80483	1.813893	64.67033652663442	5.995	9.355
F2S4_170324_041_F01	Microglia Siglech	2.953043	1.809241	61.26700491662329	5.781	8.145
F2S4_170324_041_E01	Microglia Siglech	2.829714	1.816359	64.18878374280933	5.432	7.67
F2S4_170324_040_F01	Microglia Siglech	2.713828	1.958704	72.1749499231344	5.972	8.671
F2S4_170324_040_E01	Microglia Siglech	2.626559	1.665667	63.41631769931687	5.234	7.328
F2S4_170324_039_D01	Microglia Siglech	2.885815	2.01331	69.76573342366021	5.139	7.159
F2S4_170324_038_F01	Microglia Siglech	2.611742	2.08994	80.02092090260064	5.755	8.929
F2S4_170324_038_E01	Microglia Siglech	2.882419	2.220513	77.03644057300482	6.524	10.312
F2S4_170324_038_C01	Microglia Siglech	2.697561	2.188112	81.11445857943528	5.477	8.242
F2S4_170324_037_G01	Microglia Siglech	2.549346	1.913633	75.063682999483	4.353	5.873
F2S4_170324_036_H01	Microglia Siglech	2.828692	1.755195	62.0497035378896	5.523	7.833
F2S4_170324_035_F01	Microglia Siglech	2.502585	1.771015	70.76742648101863	5.851	8.448
F2S4_170324_035_E01	Microglia Siglech	2.195195	1.478132	67.33488368914834	5.512	7.878
F2S4_170324_028_H01	Microglia Siglech	3.043168	2.054022	67.49617503864394	5.622	8.391
F2S4_170324_028_E01	Microglia Siglech	2.95482	1.868958	63.25116250736086	5.735	8.283
F2S4_170324_028_C01	Microglia Siglech	2.189531	1.70892	78.04959144218556	5.48	8.564
F2S4_170324_027_H01	Microglia Siglech	2.640934	1.917388	72.60264739671646	5.496	8.046
F2S4_170324_027_G01	Microglia Siglech	2.770853	1.828225	65.98058431825868	4.994	6.959
F2S4_170324_026_C01	Microglia Siglech	2.694614	1.58114	58.677792069661926	5.306	7.212
F2S4_170324_026_A01	Microglia Siglech	3.31976	2.157181	64.98002867677182	6.145	8.767
F2S4_170324_025_G01	Microglia Siglech	1.772697	1.298413	73.2450610566837	5.706	8.467
F2S4_170324_024_H01	Microglia Siglech	2.52273	1.559153	61.80419624771577	5.952	8.9
F2S4_170324_024_C01	Microglia Siglech	2.618433	1.445688	55.21195310324916	6.132	8.687
F2S4_170324_017_F01	Microglia Siglech	2.746254	1.839687	66.98896023455951	5.5	7.729
F2S4_170324_017_E01	Microglia Siglech	3.238536	2.111292	65.19279081659121	5.417	7.494
F2S4_170324_017_D01	Microglia Siglech	2.559387	1.634122	63.84817927105202	5.775	7.98
F2S4_170324_015_F01	Microglia Siglech	2.757009	1.853044	67.21211283677347	5.977	8.723
F2S4_170324_015_C01	Microglia Siglech	2.704462	1.957524	72.38127213471664	5.983	9.073
F2S4_170324_014_F01	Microglia Siglech	3.02442	2.001386	66.17420860859272	6.112	8.779
F2S4_170324_014_D01	Microglia Siglech	3.450192	1.865041	54.05615107796899	6.785	9.642
F2S4_170324_013_F01	Microglia Siglech	3.264412	2.101242	64.36816186192183	5.89	8.489
F2S4_170324_012_G01	Microglia Siglech	3.056643	2.189615	71.63463315801026	5.878	8.873
F2S4_170324_012_F01	Microglia Siglech	2.872567	1.867578	65.01425380156493	5.996	8.581
F2S4_170324_012_E01	Microglia Siglech	3.301951	2.252509	68.21751746164615	6.231	9.232
F2S4_170324_012_B01	Microglia Siglech	3.343085	2.421431	72.43103301292071	6.234	9.52
F2S4_170324_011_D01	Microglia Siglech	2.857781	1.855394	64.9242891600161	5.573	7.923
F2S4_170324_011_C01	Microglia Siglech	2.913669	1.931179	66.27997209017221	6.015	8.647
F2S4_170324_004_H01	Microglia Siglech	2.932182	1.952462	66.58734007643454	5.951	9.063
F2S4_170324_004_B01	Microglia Siglech	2.769851	1.973288	71.24166606795816	6.191	9.361
F2S4_170324_003_G01	Microglia Siglech	2.264958	1.293447	57.10688675021789	5.246	7.294
F2S4_170324_003_E01	Microglia Siglech	2.473962	1.696489	68.57376952435	5.994	8.822
F2S4_170324_002_H01	Microglia Siglech	2.688287	1.789153	66.55364549990385	6.029	8.665
F2S4_170323_060_E01	Microglia Siglech	2.926861	1.665667	56.90967217097088	7.015	10.201
F2S4_170323_059_E01	Microglia Siglech	1.920992	1.121594	58.38618796954906	6.196	9.04
F2S4_170323_052_F01	Microglia Siglech	3.176378	2.137236	67.28531679793778	5.994	8.723
F2S4_170323_052_E01	Microglia Siglech	3.375601	2.271878	67.30291879875612	6.329	9.236
F2S4_170323_051_H01	Microglia Siglech	3.294328	2.482528	75.35764501895378	6.48	9.8
F2S4_170323_051_E01	Microglia Siglech	3.142649	2.328377	74.08962948137065	6.761	10.793
F2S4_170323_050_E01	Microglia Siglech	2.889204	1.880208	65.07702467530851	5.934	8.478
F2S4_170323_049_F01	Microglia Siglech	2.848502	2.135357	74.96420925805914	5.747	8.61
F2S4_170323_049_A01	Microglia Siglech	1.517532	1.123507	74.03514390470843	4.542	6.457
F2S4_170323_040_B01	Microglia Siglech	2.507067	1.717452	68.50443167254804	5.508	7.982
F2S4_170323_038_D01	Microglia Siglech	2.53334	1.749533	69.06033142018047	6.224	9.481
F2S4_170323_037_G01	Microglia Siglech	1.206817	0.756697	62.70188437849317	4.56	6.553
F2S4_170323_037_D01	Microglia Siglech	2.571715	2.170871	84.41335840091145	6.815	12.286
F2S4_170323_035_F01	Microglia Siglech	2.592974	1.625201	62.67710358838924	5.943	8.564
F2S4_170323_035_E01	Microglia Siglech	2.300662	1.474862	64.10598340825379	5.842	8.394
F2S4_170323_026_F01	Microglia Siglech	2.781589	2.216645	79.6898822938975	6.196	10.035
F2S4_170323_025_H01	Microglia Siglech	2.834718	1.912974	67.48374970632	5.494	7.992
F2S4_170323_025_G01	Microglia Siglech	2.634944	1.755627	66.62862664253966	5.565	7.92
F2S4_170323_018_H01	Microglia Siglech	1.565372	0.992587	63.409017153750035	4.866	7.052
F2S4_170323_018_F01	Microglia Siglech	3.345368	2.729201	81.5814881950207	6.021	9.905
F2S4_170323_018_A01	Microglia Siglech	7.128386	4.416012	61.94967556470707	6.284	8.544
F2S4_170323_017_H01	Microglia Siglech	3.283513	2.662954	81.10076007008348	5.959	9.831
F2S4_170323_017_G01	Microglia Siglech	2.045295	1.615456	78.98400964164094	4.94	7.692
F2S4_170323_017_D01	Microglia Siglech	1.553357	1.095102	70.49905462813764	4.367	6.157
F2S4_170323_016_H01	Microglia Siglech	3.114278	1.873341	60.15330037973489	5.442	7.615
F2S4_170323_016_G01	Microglia Siglech	3.955504	2.962822	74.9037796447684	5.301	7.477
F2S4_170323_016_F01	Microglia Siglech	2.606025	1.565213	60.06131944244587	5.309	7.518
F2S4_170323_015_H01	Microglia Siglech	2.860313	1.872358	65.45989896909883	5.684	8.174
F2S4_170323_015_D01	Microglia Siglech	2.770275	1.946995	70.28165073864508	5.418	7.717
F2S4_170323_015_B01	Microglia Siglech	2.774819	1.624738	58.55293624557133	5.561	7.597
F2S4_170323_014_H01	Microglia Siglech	2.438941	1.557576	63.86279946911386	5.318	7.373
F2S4_170323_014_D01	Microglia Siglech	1.997625	1.245518	62.349940554408356	5.551	7.839
F2S4_170323_013_F01	Microglia Siglech	2.239292	1.383778	61.795335311339485	4.964	7.072
F2S4_170323_013_E01	Microglia Siglech	1.584273	1.115651	70.42037578119427	3.591	4.644
F2S4_170323_013_D01	Microglia Siglech	2.500074	1.532846	61.31202516405514	5.254	7.424
F2S4_170323_013_C01	Microglia Siglech	2.69284	1.778033	66.02817100161911	5.138	7.232
F2S4_170323_012_F01	Microglia Siglech	2.352217	1.675241	71.21966213151254	5.137	7.41
F2S4_170323_011_D01	Microglia Siglech	2.743355	1.988175	72.47239238086212	5.962	8.742
F2S4_170323_010_E01	Microglia Siglech	3.579997	2.478517	69.23237645171211	6.081	8.93
F2S4_170323_003_G01	Microglia Siglech	2.840445	1.954369	68.80502878950306	5.186	7.589
F2S4_170323_003_B01	Microglia Siglech	2.850362	1.849404	64.8831271256072	5.419	7.714
F2S4_170323_001_A01	Microglia Siglech	2.784712	2.107794	75.69163346155725	5.462	8.154
F2S4_160824_054_C01	Microglia Siglech	2.554712	1.661977	65.05535653333918	5.551	8.022
F2S4_160629_017_E01	Microglia Siglech	2.038057	1.543744	75.74586971806971	5.627	8.704
F2S4_160613_028_B01	Microglia Siglech	2.172606	1.728083	79.53964041340215	5.443	8.503
F2S4_160526_010_E01	Microglia Siglech	2.708318	2.051288	75.74029342196891	6.397	9.974
F2S4_160505_030_B01	Microglia Siglech	2.716054	2.380487	87.64505418522606	6.431	11.32
F2S4_160505_030_A01	Microglia Siglech	3.180718	2.208971	69.44881627355835	6.022	9.188
F2S4_160505_028_F01	Microglia Siglech	4.520765	3.52313	77.93216413593717	6.424	10.026
F2S4_160316_003_D01	Microglia Siglech	2.267895	1.451287	63.99268925589588	5.729	8.637
F2S4_160316_001_A01	Microglia Siglech	2.303711	1.626515	70.60412525703093	7.081	12.645
F2S4_160225_011_F01	Microglia Siglech	2.383061	1.321139	55.43874034277763	5.316	7.756
F2S4_160225_011_D01	Microglia Siglech	2.24491	1.160607	51.69948906637683	5.29	7.763
F2S4_160225_010_H01	Microglia Siglech	2.126465	1.203119	56.578358919615425	5.424	7.978
F2S4_160225_010_C01	Microglia Siglech	2.583458	1.159007	44.86262211346188	5.023	6.831
F2S4_160225_008_B01	Microglia Siglech	2.878731	2.243062	77.91843003045439	6.797	11.728
F2S4_160219_011_E01	Microglia Siglech	1.959734	1.342084	68.48296758641735	6.123	10.367
F2S4_160219_011_B01	Microglia Siglech	2.085177	1.412258	67.72844703351323	6.802	11.563
F2S4_160219_003_A01	Microglia Siglech	2.142096	1.469361	68.59454478230667	6.729	11.898
F2S4_160219_002_G01	Microglia Siglech	1.803121	0.841069	46.64517799970162	6.226	9.347
F2S4_160219_002_F01	Microglia Siglech	2.208888	1.221519	55.30017818920652	6.774	10.282
F2S4_160219_002_A01	Microglia Siglech	2.020891	1.406215	69.58391125498603	6.991	12.267
F2S4_160119_002_A01	Microglia Siglech	2.29481	0.944479	41.157176411119	7.013	11.137
F2S4_171220_001_B01	Meis2 Adamts19	1.342286	1.012299	75.416043972745	5.73	9.336
F2S4_171215_001_A01	Meis2 Adamts19	1.11767	0.805151	72.03834763391698	5.84	9.537
F2S4_171128_002_C01	Meis2 Adamts19	0.94324	0.674994	71.56121453712736	7.739	13.089
F2S4_170807_024_D01	Meis2 Adamts19	1.130919	0.767035	67.82404398546669	6.328	9.892
F2S4_170707_030_A01	Meis2 Adamts19	2.26671	1.7613	77.70292626758607	6.118	9.885
F2S4_170707_022_D01	Meis2 Adamts19	1.917902	1.358186	70.8162356575049	5.61	8.856
F2S4_170519_007_F01	Meis2 Adamts19	3.203714	2.054735	64.13603086917247	8.328	14.304
F2S4_170519_007_D01	Meis2 Adamts19	1.714622	1.072198	62.53261651839297	6.873	11.058
F2S4_170519_006_E01	Meis2 Adamts19	1.874446	1.23963	66.13314013847291	6.787	10.783
F2S4_170518_012_A01	Meis2 Adamts19	3.331094	2.552656	76.63116081383473	8.054	14.014
F2S4_170518_011_H01	Meis2 Adamts19	2.206329	1.666346	75.52572621762212	7.262	12.507
F2S4_170518_011_B01	Meis2 Adamts19	1.145646	0.797508	69.61207912391785	5.396	7.88
F2S4_170518_006_A01	Meis2 Adamts19	2.82862	1.904965	67.34609102671975	7.68	12.47
F2S4_170511_002_F01	Meis2 Adamts19	3.663323	2.519347	68.7721776103281	9.512	14.562
F2S4_170511_002_B01	Meis2 Adamts19	5.790014	4.763678	82.27403249802158	8.179	14.706
F2S4_170412_003_G01	Meis2 Adamts19	3.714296	2.493286	67.1267448797834	8.052	13.121
F2S4_170412_003_F01	Meis2 Adamts19	2.154689	1.480191	68.69627124842611	6.468	10.21
F2S4_170412_003_E01	Meis2 Adamts19	2.122418	1.43093	67.41980137748548	6.402	10.152
F2S4_170412_003_D01	Meis2 Adamts19	1.723247	1.095935	63.59709316192049	7.4	11.563
F2S4_170412_003_C01	Meis2 Adamts19	1.874441	1.284982	68.55281121144917	6.261	9.796
F2S4_170412_003_A01	Meis2 Adamts19	2.62562	1.792685	68.27663561368362	9.975	17.601
F2S4_170412_002_H01	Meis2 Adamts19	3.37	2.678317	79.47528189910979	7.249	11.663
F2S4_170412_002_F01	Meis2 Adamts19	2.502986	1.929746	77.09775444209437	6.549	10.152
F2S4_170412_002_E01	Meis2 Adamts19	2.702773	2.023737	74.87632146687865	7.81	13.3
F2S4_170412_002_D01	Meis2 Adamts19	1.28093	0.852452	66.54946015785407	6.517	10.156
F2S4_170412_002_C01	Meis2 Adamts19	2.243349	1.524381	67.95113020756021	7.902	12.315
F2S4_170412_002_B01	Meis2 Adamts19	1.557121	1.16718	74.95756591812712	7.01	11.33
F2S4_170412_001_H01	Meis2 Adamts19	3.278068	2.621956	79.98479592247628	7.54	12.863
F2S4_170412_001_G01	Meis2 Adamts19	2.208354	1.55917	70.60326378832379	7.439	11.899
F2S4_170412_001_F01	Meis2 Adamts19	2.567017	1.984164	77.29454070619713	7.619	12.901
F2S4_170412_001_E01	Meis2 Adamts19	2.315964	1.651594	71.31345737671224	8.685	14.354
F2S4_170320_008_D01	Meis2 Adamts19	2.646739	1.720974	65.02242948775833	8.794	16.072
F2S4_170320_008_A01	Meis2 Adamts19	2.765726	1.756763	63.51905430979063	7.506	11.958
F2S4_170320_005_A01	Meis2 Adamts19	2.046251	1.304603	63.75576603261281	5.953	9.252
F2S4_170209_002_G01	Meis2 Adamts19	2.4442	1.728872	70.73365518370018	6.786	10.881
F2S4_160901_009_C01	Meis2 Adamts19	2.547645	1.897664	74.48698700172119	10.602	20.231
F2S4_160726_008_E01	Meis2 Adamts19	2.026484	1.789851	88.3229771367551	7.134	12.789
F2S4_160726_003_H01	Meis2 Adamts19	2.564076	1.480064	57.72309401125396	8.204	13.808
F2S4_160721_005_H01	Meis2 Adamts19	2.443915	1.09391	44.76055836639163	7.083	10.825
F2S4_160613_028_D01	Meis2 Adamts19	2.780226	2.050618	73.75724131779215	7.846	13.6
F2S4_160531_020_F01	Meis2 Adamts19	2.578838	1.506622	58.42251432621979	6.736	10.987
F2S4_160531_012_G01	Meis2 Adamts19	2.773891	1.711867	61.71356408741367	6.617	10.381
F2S4_160525_003_A01	Meis2 Adamts19	4.04452	2.912046	71.9997923115722	7.912	13.415
F2S4_160506_008_B01	Meis2 Adamts19	3.168773	1.886852	59.54519304475265	6.384	9.726
F2S4_160504_011_G01	Meis2 Adamts19	2.93711	1.939168	66.02299539343095	6.755	10.613
F2S4_160502_016_E01	Meis2 Adamts19	2.762454	1.954401	70.74872558963878	6.569	10.799
F2S4_160429_018_D01	Meis2 Adamts19	2.686804	1.635054	60.854978628883984	6.961	10.98
