SRA	Cell
SRR7323652	F0S4_150820_024_D01
SRR7322081	F0S4_150820_024_E01
SRR7322092	F0S4_150820_024_F01
SRR7322103	F0S4_150820_024_G01
SRR7322114	F0S4_150820_024_H01
SRR7334204	F2S4_160114_005_A01
SRR7334206	F2S4_160114_005_B01
SRR7334207	F2S4_160114_005_C01
SRR7334208	F2S4_160114_005_D01
SRR7334209	F2S4_160114_005_E01
SRR7334210	F2S4_160114_005_F01
SRR7334211	F2S4_160114_005_G01
SRR7334212	F2S4_160114_005_H01
SRR7334213	F2S4_160114_006_A01
SRR7334214	F2S4_160114_006_B01
SRR7334215	F2S4_160114_006_C01
SRR7334217	F2S4_160114_006_D01
SRR7334218	F2S4_160114_006_E01
SRR7334219	F2S4_160114_006_F01
SRR7334220	F2S4_160114_006_G01
SRR7334221	F2S4_160114_006_H01
SRR7334222	F2S4_160114_013_A01
SRR7334223	F2S4_160114_013_B01
SRR7334224	F2S4_160114_013_C01
SRR7334225	F2S4_160114_013_D01
SRR7334226	F2S4_160114_013_E01
SRR7334228	F2S4_160114_013_F01
SRR7334229	F2S4_160114_013_G01
SRR7334230	F2S4_160114_013_H01
SRR7334231	F2S4_160114_014_A01
SRR7334232	F2S4_160114_014_B01
SRR7334233	F2S4_160114_014_C01
SRR7334237	F2S4_160114_014_D01
SRR7334238	F2S4_160114_014_E01
SRR7334239	F2S4_160114_014_F01
SRR7334240	F2S4_160114_014_G01
SRR7334242	F2S4_160114_014_H01
SRR7334243	F2S4_160114_015_A01
SRR7334244	F2S4_160114_015_B01
SRR7334245	F2S4_160114_015_C01
SRR7334246	F2S4_160114_015_D01
SRR7334247	F2S4_160114_015_E01
SRR7334248	F2S4_160114_015_F01
SRR7334249	F2S4_160114_015_G01
SRR7334250	F2S4_160114_015_H01
SRR7334251	F2S4_160114_020_A01
SRR7334253	F2S4_160114_020_B01
SRR7334254	F2S4_160114_020_C01
SRR7334255	F2S4_160114_020_D01
SRR7334256	F2S4_160114_020_E01
SRR7334257	F2S4_160114_020_F01
SRR7334258	F2S4_160114_020_G01
SRR7334259	F2S4_160114_020_H01
SRR7334260	F2S4_160114_021_A01
SRR7334261	F2S4_160114_021_B01
SRR7334262	F2S4_160114_021_C01
SRR7334264	F2S4_160114_021_D01
SRR7334265	F2S4_160114_021_E01
SRR7334266	F2S4_160114_021_F01
SRR7334267	F2S4_160114_021_G01
SRR7334268	F2S4_160114_021_H01
SRR7327461	F2S4_160115_007_A01
SRR7327462	F2S4_160115_007_B01
SRR7327463	F2S4_160115_007_C01
SRR7327464	F2S4_160115_007_D01
SRR7327465	F2S4_160115_007_E01
SRR7327467	F2S4_160115_007_F01
SRR7327468	F2S4_160115_007_G01
SRR7327469	F2S4_160115_007_H01
SRR7327470	F2S4_160115_008_A01
SRR7327471	F2S4_160115_008_B01
SRR7327472	F2S4_160115_008_C01
SRR7327473	F2S4_160115_008_D01
SRR7327474	F2S4_160115_008_E01
SRR7327475	F2S4_160115_008_F01
SRR7327476	F2S4_160115_008_G01
SRR7327478	F2S4_160115_008_H01
SRR7327479	F2S4_160115_011_A01
SRR7327480	F2S4_160115_011_B01
SRR7327481	F2S4_160115_011_C01
SRR7327482	F2S4_160115_011_D01
SRR7327483	F2S4_160115_011_E01
SRR7327484	F2S4_160115_011_F01
SRR7327485	F2S4_160115_011_G01
SRR7327486	F2S4_160115_011_H01
SRR7327487	F2S4_160115_012_A01
SRR7327489	F2S4_160115_012_B01
SRR7327490	F2S4_160115_012_C01
SRR7327491	F2S4_160115_012_D01
SRR7327492	F2S4_160115_012_E01
SRR7327493	F2S4_160115_012_F01
SRR7327494	F2S4_160115_012_G01
SRR7327495	F2S4_160115_012_H01
SRR7322915	F0S4_150820_025_A01
SRR7323663	F0S4_150820_025_B01
SRR7322926	F0S4_150820_025_C01
SRR7323674	F0S4_150820_025_D01
SRR7322125	F0S4_150820_025_E01
SRR7322136	F0S4_150820_025_F01
SRR7322147	F0S4_150820_025_G01
SRR7322158	F0S4_150820_025_H01
SRR7335372	F2S4_160113_025_A01
SRR7335374	F2S4_160113_025_B01
SRR7335375	F2S4_160113_025_C01
SRR7335376	F2S4_160113_025_D01
SRR7335377	F2S4_160113_025_E01
SRR7335378	F2S4_160113_025_F01
SRR7335379	F2S4_160113_025_G01
SRR7335380	F2S4_160113_025_H01
SRR7327496	F2S4_160119_005_A01
SRR7327497	F2S4_160119_005_B01
SRR7327498	F2S4_160119_005_C01
SRR7327001	F2S4_160119_005_D01
SRR7327002	F2S4_160119_005_E01
SRR7327003	F2S4_160119_005_F01
SRR7327004	F2S4_160119_005_G01
SRR7327005	F2S4_160119_005_H01
